system:index,east,mean,north,south,west,.geo
6_5,74.23815102058545,1934.1879880540016,29.963427249076336,29.90381950292228,74.17694094093399,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.17694094093399,29.90381950292228],[74.23815102058545,29.90381950292228],[74.23815102058545,29.963427249076336],[74.17694094093399,29.963427249076336],[74.17694094093399,29.90381950292228]]]}"
6_6,74.29936110023691,1935.7206369043397,29.963427249076336,29.90381950292228,74.23815102058545,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.23815102058545,29.90381950292228],[74.29936110023691,29.90381950292228],[74.29936110023691,29.963427249076336],[74.23815102058545,29.963427249076336],[74.23815102058545,29.90381950292228]]]}"
6_7,74.36057117988837,1936.4020418303983,29.963427249076336,29.90381950292228,74.29936110023691,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.29936110023691,29.90381950292228],[74.36057117988837,29.90381950292228],[74.36057117988837,29.963427249076336],[74.29936110023691,29.963427249076336],[74.29936110023691,29.90381950292228]]]}"
6_8,74.42178125953983,1935.7521577870443,29.963427249076336,29.90381950292228,74.36057117988837,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.36057117988837,29.90381950292228],[74.42178125953983,29.90381950292228],[74.42178125953983,29.963427249076336],[74.36057117988837,29.963427249076336],[74.36057117988837,29.90381950292228]]]}"
6_9,74.4829913391913,1933.8429176559935,29.963427249076336,29.90381950292228,74.42178125953984,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.42178125953984,29.90381950292228],[74.4829913391913,29.90381950292228],[74.4829913391913,29.963427249076336],[74.42178125953984,29.963427249076336],[74.42178125953984,29.90381950292228]]]}"
6_10,74.54420141884276,1931.2924915920014,29.963427249076336,29.90381950292228,74.4829913391913,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.4829913391913,29.90381950292228],[74.54420141884276,29.90381950292228],[74.54420141884276,29.963427249076336],[74.4829913391913,29.963427249076336],[74.4829913391913,29.90381950292228]]]}"
6_11,74.60541149849422,1928.1954418175424,29.963427249076336,29.90381950292228,74.54420141884276,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.54420141884276,29.90381950292228],[74.60541149849422,29.90381950292228],[74.60541149849422,29.963427249076336],[74.54420141884276,29.963427249076336],[74.54420141884276,29.90381950292228]]]}"
6_12,74.66662157814568,1929.4886585930715,29.963427249076336,29.90381950292228,74.60541149849422,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.60541149849422,29.90381950292228],[74.66662157814568,29.90381950292228],[74.66662157814568,29.963427249076336],[74.60541149849422,29.963427249076336],[74.60541149849422,29.90381950292228]]]}"
6_13,74.72783165779714,1931.662653524983,29.963427249076336,29.90381950292228,74.66662157814568,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.66662157814568,29.90381950292228],[74.72783165779714,29.90381950292228],[74.72783165779714,29.963427249076336],[74.66662157814568,29.963427249076336],[74.66662157814568,29.90381950292228]]]}"
6_15,74.85025181710006,1930.8574588933961,29.963427249076336,29.90381950292228,74.7890417374486,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.7890417374486,29.90381950292228],[74.85025181710006,29.90381950292228],[74.85025181710006,29.963427249076336],[74.7890417374486,29.963427249076336],[74.7890417374486,29.90381950292228]]]}"
6_16,74.91146189675152,1931.9360329499254,29.963427249076336,29.90381950292228,74.85025181710006,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.85025181710006,29.90381950292228],[74.91146189675152,29.90381950292228],[74.91146189675152,29.963427249076336],[74.85025181710006,29.963427249076336],[74.85025181710006,29.90381950292228]]]}"
6_17,74.97267197640298,1933.3162826378536,29.963427249076336,29.90381950292228,74.91146189675152,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.91146189675152,29.90381950292228],[74.97267197640298,29.90381950292228],[74.97267197640298,29.963427249076336],[74.91146189675152,29.963427249076336],[74.91146189675152,29.90381950292228]]]}"
6_18,75.03388205605444,1932.9982309114284,29.963427249076336,29.90381950292228,74.97267197640298,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.97267197640298,29.90381950292228],[75.03388205605444,29.90381950292228],[75.03388205605444,29.963427249076336],[74.97267197640298,29.963427249076336],[74.97267197640298,29.90381950292228]]]}"
6_19,75.0950921357059,1931.3553918737996,29.963427249076336,29.90381950292228,75.03388205605444,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.03388205605444,29.90381950292228],[75.0950921357059,29.90381950292228],[75.0950921357059,29.963427249076336],[75.03388205605444,29.963427249076336],[75.03388205605444,29.90381950292228]]]}"
6_20,75.15630221535736,1932.0171910670058,29.963427249076336,29.90381950292228,75.0950921357059,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.0950921357059,29.90381950292228],[75.15630221535736,29.90381950292228],[75.15630221535736,29.963427249076336],[75.0950921357059,29.963427249076336],[75.0950921357059,29.90381950292228]]]}"
