system:index,east,max,mean,min,north,south,stdDev,west,.geo
14_9,74.4829913391913,1935.5248702291437,1934.1119141507315,1933.934736857363,30.440289218308802,30.380681472154745,0.5734029097263228,74.42178125953984,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.42178125953984,30.380681472154745],[74.4829913391913,30.380681472154745],[74.4829913391913,30.440289218308802],[74.42178125953984,30.440289218308802],[74.42178125953984,30.380681472154745]]]}"
14_10,74.54420141884276,1935.482743050002,1934.7941720340855,1934.1225499458376,30.440289218308802,30.380681472154745,0.4824899671739399,74.4829913391913,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.4829913391913,30.380681472154745],[74.54420141884276,30.380681472154745],[74.54420141884276,30.440289218308802],[74.4829913391913,30.440289218308802],[74.4829913391913,30.380681472154745]]]}"
14_11,74.60541149849422,1935.482743050002,1935.2910324312634,1934.7303355538122,30.440289218308802,30.380681472154745,0.2794520951595923,74.54420141884276,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.54420141884276,30.380681472154745],[74.60541149849422,30.380681472154745],[74.60541149849422,30.440289218308802],[74.54420141884276,30.440289218308802],[74.54420141884276,30.380681472154745]]]}"
14_12,74.66662157814568,1934.9603629697926,1934.3244972755358,1932.6526966914903,30.440289218308802,30.380681472154745,0.9822607631137502,74.60541149849422,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.60541149849422,30.380681472154745],[74.66662157814568,30.380681472154745],[74.66662157814568,30.440289218308802],[74.60541149849422,30.440289218308802],[74.60541149849422,30.380681472154745]]]}"
14_13,74.72783165779714,1933.1995965362526,1932.6923947753912,1932.0638431725167,30.440289218308802,30.380681472154745,0.4085984984681772,74.66662157814568,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.66662157814568,30.380681472154745],[74.72783165779714,30.380681472154745],[74.72783165779714,30.440289218308802],[74.66662157814568,30.440289218308802],[74.66662157814568,30.380681472154745]]]}"
14_14,74.7890417374486,1932.9630785825047,1932.0830079149732,1931.5868192750277,30.440289218308802,30.380681472154745,0.4960013300997386,74.72783165779714,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.72783165779714,30.380681472154745],[74.7890417374486,30.380681472154745],[74.7890417374486,30.440289218308802],[74.72783165779714,30.440289218308802],[74.72783165779714,30.380681472154745]]]}"
14_15,74.85025181710006,1932.9630785825047,1932.2408885667955,1931.6513389974382,30.440289218308802,30.380681472154745,0.5073205146434037,74.7890417374486,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.7890417374486,30.380681472154745],[74.85025181710006,30.380681472154745],[74.85025181710006,30.440289218308802],[74.7890417374486,30.440289218308802],[74.7890417374486,30.380681472154745]]]}"
14_16,74.91146189675152,1932.883763514454,1932.1351382110824,1931.6513389974382,30.440289218308802,30.380681472154745,0.4999795565858927,74.85025181710006,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.85025181710006,30.380681472154745],[74.91146189675152,30.380681472154745],[74.91146189675152,30.440289218308802],[74.85025181710006,30.440289218308802],[74.85025181710006,30.380681472154745]]]}"
14_17,74.97267197640298,1934.861412998373,1933.6462188665578,1931.6716211849032,30.440289218308802,30.380681472154745,1.1102493211661215,74.91146189675152,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.91146189675152,30.380681472154745],[74.97267197640298,30.380681472154745],[74.97267197640298,30.440289218308802],[74.91146189675152,30.440289218308802],[74.91146189675152,30.380681472154745]]]}"
14_18,75.03388205605444,1934.861412998373,1934.585840875644,1934.0986080427522,30.440289218308802,30.380681472154745,0.3156376085501221,74.97267197640298,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.97267197640298,30.380681472154745],[75.03388205605444,30.380681472154745],[75.03388205605444,30.440289218308802],[74.97267197640298,30.440289218308802],[74.97267197640298,30.380681472154745]]]}"
14_19,75.0950921357059,1934.823386514878,1934.550877148323,1934.0986080427522,30.440289218308802,30.380681472154745,0.264800664011889,75.03388205605444,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.03388205605444,30.380681472154745],[75.0950921357059,30.380681472154745],[75.0950921357059,30.440289218308802],[75.03388205605444,30.440289218308802],[75.03388205605444,30.380681472154745]]]}"
14_20,75.15630221535736,1934.6239174875209,1932.3298412568922,1932.0222699059154,30.440289218308802,30.380681472154745,1.1001697970397228,75.0950921357059,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.0950921357059,30.380681472154745],[75.15630221535736,30.380681472154745],[75.15630221535736,30.440289218308802],[75.0950921357059,30.440289218308802],[75.0950921357059,30.380681472154745]]]}"
14_21,75.21751229500882,1932.930895102179,1932.637776065897,1932.3053453032423,30.440289218308802,30.380681472154745,0.26810511238389595,75.15630221535736,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.15630221535736,30.380681472154745],[75.21751229500882,30.380681472154745],[75.21751229500882,30.440289218308802],[75.15630221535736,30.440289218308802],[75.15630221535736,30.380681472154745]]]}"
14_22,75.27872237466028,1934.5202642118277,1933.6203341709413,1932.9096678108933,30.440289218308802,30.380681472154745,0.6554486112348248,75.21751229500882,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.21751229500882,30.380681472154745],[75.27872237466028,30.380681472154745],[75.27872237466028,30.440289218308802],[75.21751229500882,30.440289218308802],[75.21751229500882,30.380681472154745]]]}"
14_23,75.33993245431174,1932.1415969994275,1931.680001875415,1930.8992625249605,30.440289218308802,30.380681472154745,0.44134886545858937,75.27872237466028,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.27872237466028,30.380681472154745],[75.33993245431174,30.380681472154745],[75.33993245431174,30.440289218308802],[75.27872237466028,30.440289218308802],[75.27872237466028,30.380681472154745]]]}"
14_24,75.4011425339632,1932.3242909198204,1931.7338808372715,1930.8992625249605,30.440289218308802,30.380681472154745,0.5240131640378042,75.33993245431174,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.33993245431174,30.380681472154745],[75.4011425339632,30.380681472154745],[75.4011425339632,30.440289218308802],[75.33993245431174,30.440289218308802],[75.33993245431174,30.380681472154745]]]}"
14_25,75.46235261361466,1935.4409091944572,1933.156142784171,1931.93215324559,30.440289218308802,30.380681472154745,1.1520628726914615,75.4011425339632,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.4011425339632,30.380681472154745],[75.46235261361466,30.380681472154745],[75.46235261361466,30.440289218308802],[75.4011425339632,30.440289218308802],[75.4011425339632,30.380681472154745]]]}"
14_26,75.52356269326613,1935.8286306863517,1934.4166092299565,1933.3627739430447,30.440289218308802,30.380681472154745,1.1146838734322875,75.46235261361467,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.46235261361467,30.380681472154745],[75.52356269326613,30.380681472154745],[75.52356269326613,30.440289218308802],[75.46235261361467,30.440289218308802],[75.46235261361467,30.380681472154745]]]}"
